计费对象,产品名称,产品到期时间,状态,停机类型,客户编号,用户类型,客户等级,网络类型,业务备注,收费类型,入网时间,渠道名称,网格序号
ys0110823,宽带10M产品,6/17/2017,正使用,正常,c10002367348,新用户,5星ABD客户,农网用户,EOC接入,普通,5/18/2016, , 
ys0067749,宽带10M产品,7/15/2017,正使用,正常,c10002367702,新用户,5星ABD客户,城网用户,EOC接入,普通,6/13/2014, , 
ys0087204,宽带20M产品,8/1/2017,正使用,正常,c10002368390,新用户,5星ABD客户,城网用户,EOC接入,农网居民,5/26/2015, , 
ys0087498,宽带10M产品,6/2/2017,正使用,正常,c10002369401,新用户,5星ABD客户,城网用户,EOC接入,普通,6/1/2015, , 
ys0048290,宽带10M产品,10/24/2017,正使用,正常,c10002369730,新用户,5星ABD客户,城网用户,EOC接入,农网居民,9/25/2013, , 
ys0024671,宽带4M产品,10/29/2017,正使用,正常,c10002369734,新用户,5星ABD客户,城网用户,LAN接入,普通,3/28/2012, , 
ys0082057,宽带10M产品,6/17/2017,正使用,正常,c10002369736,新用户,5星ABD客户,城网用户,EOC接入,普通,2/4/2015, , 
ys0009395,宽带10M产品,1/19/2018,正使用,正常,c10002369741,新用户,5星ABD客户,城网用户,EOC接入,普通,11/26/2010, , 
ys0089677,宽带10M产品,10/15/2017,正使用,正常,c10002370700,新用户,5星ABD客户,城网用户,EOC接入,普通,7/13/2015, , 
ys0087370,宽带10M产品,10/15/2017,正使用,正常,c10002370701,新用户,5星ABD客户,城网用户,EOC接入,农网居民,5/29/2015, , 
ys0040426,宽带10M产品,11/20/2017,正使用,正常,c10002370702,新用户,5星ABD客户,城网用户,EOC接入,普通,5/15/2013, , 
ys0068736,宽带10M产品,10/15/2017,正使用,正常,c10002370703,新用户,5星ABD客户,城网用户,EOC接入,普通,6/27/2014, , 
ys0020688,宽带10M产品,10/15/2017,正使用,正常,c10002370704,新用户,5星ABD客户,城网用户,LAN接入,普通,11/26/2011, , 
ys0087057,宽带10M产品,10/15/2017,正使用,正常,c10002370705,新用户,5星ABD客户,城网用户,EOC接入,普通,5/22/2015, , 
ys0068603,宽带10M产品,10/15/2017,正使用,正常,c10002370706,新用户,5星ABD客户,城网用户,LAN接入,普通,6/26/2014, , 
ys0040336,宽带10M产品,10/15/2017,正使用,正常,c10002370707,新用户,5星ABD客户,城网用户,EOC接入,普通,5/14/2013, , 
ys0044559,宽带4M产品,10/28/2017,正使用,正常,c10002370708,新用户,5星ABD客户,城网用户,EOC接入,普通,7/26/2013, , 
ys0066681,宽带10M产品,10/15/2017,正使用,正常,c10002370709,新用户,5星ABD客户,城网用户,EOC接入,普通,5/27/2014, , 
ys0038757,宽带10M产品,10/15/2017,正使用,正常,c10002370710,新用户,5星ABD客户,城网用户,EOC接入,普通,4/11/2013, , 
ys0034040,宽带10M产品,10/15/2017,正使用,正常,c10002370711,新用户,5星ABD客户,城网用户,EOC接入,普通,12/28/2012, , 
ys0034039,宽带10M产品,10/15/2017,正使用,正常,c10002370712,新用户,5星ABD客户,城网用户,EOC接入,普通,12/28/2012, , 
ys0073907,宽带10M产品,11/20/2017,正使用,正常,c10002370713,新用户,5星ABD客户,城网用户,LAN接入,普通,9/25/2014, , 
ys0088528,宽带10M产品,10/15/2017,正使用,正常,c10002370714,新用户,5星ABD客户,城网用户,LAN接入,普通,6/24/2015, , 
ys0077533,宽带10M产品,10/15/2017,正使用,正常,c10002370715,新用户,5星ABD客户,城网用户,EOC接入,普通,11/30/2014, , 
ys0064710,宽带10M产品,5/17/2017,正使用,正常,c10002370798,新用户,5星ABD客户,城网用户,EOC接入,广电系统,4/17/2014, , 
ys0064706,宽带10M产品,5/17/2017,正使用,正常,c10002370798,新用户,5星ABD客户,城网用户,EOC接入,广电系统,4/17/2014, , 
ys0061117,宽带10M产品,10/26/2017,正使用,正常,c10002370873,新用户,5星ABD客户,农网用户,EOC接入,广电系统,2/21/2014, , 
ys0063402,宽带10M产品,10/15/2017,正使用,正常,c10002371084,新用户,5星ABD客户,城网用户,EOC接入,普通,3/26/2014, , 
ys0086162,宽带10M产品,10/15/2017,正使用,正常,c10002371085,新用户,5星ABD客户,城网用户,EOC接入,普通,5/7/2015, , 
ys0086202,宽带10M产品,10/15/2017,正使用,正常,c10002371086,新用户,5星ABD客户,城网用户,EOC接入,普通,5/7/2015, , 
ys0015702,宽带4M产品,10/28/2017,正使用,正常,c10002371087,新用户,5星ABD客户,城网用户,EOC接入,普通,5/22/2011, , 
ys0065891,宽带10M产品,10/15/2017,正使用,正常,c10002371088,新用户,5星ABD客户,城网用户,EOC接入,普通,5/11/2014, , 
ys0049627,宽带10M产品,11/20/2017,正使用,正常,c10002371089,新用户,5星ABD客户,城网用户,EOC接入,普通,10/13/2013, , 
ys0085372,宽带10M产品,10/15/2017,正使用,正常,c10002371091,新用户,5星ABD客户,城网用户,EOC接入,普通,4/21/2015, , 
ys0007928,宽带10M产品,10/15/2017,正使用,正常,c10002371092,宽带续费用户,5星ABD客户,城网用户,EOC接入,普通,10/12/2010, , 
ys0085799,宽带10M产品,10/15/2017,正使用,正常,c10002371093,新用户,5星ABD客户,城网用户,EOC接入,普通,4/29/2015, , 
ys0087783,宽带10M产品,10/15/2017,正使用,正常,c10002371094,新用户,5星ABD客户,城网用户,EOC接入,普通,6/8/2015, , 
ys0085377,宽带10M产品,10/15/2017,正使用,正常,c10002371095,新用户,5星ABD客户,城网用户,EOC接入,普通,4/21/2015, , 
ys0041080,宽带10M产品,10/15/2017,正使用,正常,c10002371096,新用户,5星ABD客户,城网用户,EOC接入,广电系统,5/27/2013, , 
ys0068794,宽带10M产品,10/15/2017,正使用,正常,c10002371097,新用户,5星ABD客户,城网用户,EOC接入,普通,6/27/2014, , 
ys0068737,宽带10M产品,10/15/2017,正使用,正常,c10002371099,新用户,5星ABD客户,城网用户,EOC接入,普通,6/27/2014, , 
ys0025128,宽带10M产品,10/15/2017,正使用,正常,c10002371100,新用户,5星ABD客户,城网用户,EOC接入,普通,4/16/2012, , 
ys0085809,宽带10M产品,10/15/2017,正使用,正常,c10002371101,新用户,5星ABD客户,城网用户,EOC接入,普通,4/30/2015, , 
ys0087015,宽带10M产品,10/15/2017,正使用,正常,c10002371102,新用户,5星ABD客户,城网用户,EOC接入,广电系统,5/21/2015, , 
ys0031471,宽带10M产品,10/15/2017,正使用,正常,c10002371103,新用户,5星ABD客户,城网用户,EOC接入,普通,10/21/2012, , 
ys0087570,宽带10M产品,10/15/2017,正使用,正常,c10002371104,新用户,5星ABD客户,城网用户,EOC接入,普通,6/3/2015, , 
ys0087393,宽带10M产品,10/15/2017,正使用,正常,c10002371105,新用户,5星ABD客户,城网用户,EOC接入,普通,5/30/2015, , 
ys0088530,宽带10M产品,10/15/2017,正使用,正常,c10002371106,新用户,5星ABD客户,城网用户,EOC接入,普通,6/24/2015, , 
ys0041062,宽带10M产品,10/15/2017,正使用,正常,c10002371108,新用户,5星ABD客户,城网用户,EOC接入,广电系统,5/27/2013, , 
ys0087646,宽带10M产品,10/15/2017,正使用,正常,c10002371491,新用户,5星ABD客户,城网用户,EOC接入,普通,6/4/2015, , 
ys0024358,宽带10M产品,11/24/2017,正使用,正常,c10002372785,新用户,5星ABD客户,城网用户,EOC接入,普通,3/19/2012, , 
ys0040683,宽带10M产品,1/9/2018,已停用,客户报停,c10002373134,新用户,3星AB客户,农网用户,EOC接入,广电系统,5/20/2013, , 
ys0097492,宽带10M产品,11/14/2016,已停用,欠费停机,c10003501807,新用户,1星A客户,农网用户,EOC接入,普通,11/15/2015, , 
ys0078441,宽带10M产品,1/12/2018,正使用,正常,c10002373214,新用户,5星ABD客户,城网用户,EOC接入,广电系统,12/13/2014, , 
ys0076539,宽带10M产品,11/15/2016,已停用,欠费停机,c10007573669,新用户,离线,城网用户,LAN接入,普通,11/14/2014, , 
ys0001752,宽带10M产品,5/24/2017,正使用,正常,c10002373620,宽带续费用户,5星ABD客户,城网用户,EOC接入,普通,5/3/2010, , 
ys0096744,宽带10M产品,11/16/2016,已停用,欠费停机,c10002547205,新用户,1星A客户,城网用户,EOC接入,普通,11/4/2015, , 
ys0055110,宽带10M产品,12/28/2017,正使用,正常,c10002374048,新用户,5星ABD客户,城网用户,EOC接入,普通,12/17/2013, , 
ys0071846,宽带10M产品,1/22/2018,正使用,正常,c10002376862,新用户,5星ABD客户,城网用户,EOC接入,普通,8/15/2014, , 
ys0036389,宽带10M产品,3/18/2017,正使用,正常,c10002377219,新用户,5星ABD客户,城网用户,EOC接入,普通,2/16/2013, , 
ys0058315,宽带10M产品,1/18/2018,正使用,正常,c10002377601,新用户,5星ABD客户,城网用户,EOC接入,普通,1/19/2014, , 
ys0123067,宽带10M产品,11/2/2017,正使用,正常,c10002377977,新用户,5星ABD客户,城网用户,EOC接入,农网居民,11/3/2016, , 
ys0123073,宽带10M产品,11/2/2017,正使用,正常,c10002377978,新用户,5星ABD客户,城网用户,EOC接入,普通,11/3/2016, , 
ys0001029,宽带2M产品,11/27/2014,已停用,客户报停,c10002377984,新用户,离线,农网用户,EOC接入,普通,4/12/2010, , 
ys0040610,宽带4M产品,11/11/2016,已停用,客户报停,c10002377984,新用户,离线,农网用户,EOC接入,普通,5/17/2013, , 
ys0005969,宽带10M产品,1/29/2018,正使用,正常,c10002377986,新用户,5星ABD客户,农网用户,EOC接入,普通,8/12/2010, , 
ys0039145,宽带4M产品,7/25/2017,正使用,正常,c10002377988,新用户,3星AD客户,农网用户,EOC接入,普通,4/21/2013, , 
ys0123072,宽带10M产品,11/2/2017,正使用,正常,c10002377989,新用户,5星ABD客户,城网用户,EOC接入,普通,11/3/2016, , 
ys0092407,宽带10M产品,11/30/2017,正使用,正常,c10002377990,新用户,5星ABD客户,农网用户,EOC接入,普通,9/2/2015, , 
ys0010033,宽带10M产品,12/18/2017,正使用,正常,c10002378311,新用户,5星ABD客户,城网用户,EOC接入,广电系统,12/12/2010, , 
ys0021378,宽带10M产品,10/13/2017,正使用,正常,c10002380123,新用户,5星ABD客户,城网用户,EOC接入,普通,12/22/2011, , 
ys0063127,宽带10M产品,3/21/2017,正使用,正常,c10002380126,新用户,5星ABD客户,农网用户,EOC接入,农网居民,3/22/2014, , 
ys0123068,宽带10M产品,11/2/2017,正使用,正常,c10002380847,新用户,5星ABD客户,城网用户,EOC接入,普通,11/3/2016, , 
ys0123070,宽带10M产品,11/2/2017,正使用,正常,c10002380848,新用户,5星ABD客户,城网用户,EOC接入,普通,11/3/2016, , 
ys0123069,宽带10M产品,11/2/2017,正使用,正常,c10002380851,新用户,5星ABD客户,城网用户,EOC接入,普通,11/3/2016, , 
ys0123066,宽带10M产品,11/2/2017,正使用,正常,c10002380852,新用户,5星ABD客户,城网用户,EOC接入,普通,11/3/2016, , 
ys0038366,宽带10M产品,3/22/2017,正使用,正常,c10002380853,新用户,5星ABD客户,城网用户,EOC接入,普通,4/3/2013, , 
ys0051482,宽带4M产品,7/26/2016,已停用,客户报停,c10002380861,新用户,3星AB客户,农网用户,EOC接入,普通,11/5/2013, , 
ys0123063,宽带10M产品,11/2/2017,正使用,正常,c10002380862,新用户,5星ABD客户,城网用户,EOC接入,普通,11/3/2016, , 
ys0052443,宽带4M产品,8/29/2017,已停用,客户报停,c10002380863,新用户,3星AB客户,农网用户,LAN接入,普通,11/16/2013, , 
ys0092363,宽带10M产品,9/30/2017,正使用,正常,c10002380864,新用户,5星ABD客户,城网用户,EOC接入,农网居民,9/1/2015, , 
ys0056165,宽带10M产品,4/23/2017,正使用,正常,c10002380867,新用户,1星D客户,城网用户,EOC接入,广电系统,12/30/2013, , 
ys0052475,宽带10M产品,11/17/2016,已停用,欠费停机,c10002458418,新用户,3星AB客户,城网用户,EOC接入,普通,11/17/2013, , 
ys0130873,宽带4M产品,1/22/2018,正使用,正常,c10002381221,新用户,5星ABD客户,农网用户,EOC接入,普通,1/23/2017, , 
ys0123061,宽带10M产品,11/2/2017,正使用,正常,c10002381229,新用户,5星ABD客户,城网用户,EOC接入,普通,11/3/2016, , 
ys0123062,宽带10M产品,11/2/2017,正使用,正常,c10002381231,新用户,5星ABD客户,城网用户,EOC接入,普通,11/3/2016, , 
ys0123065,宽带10M产品,11/2/2017,正使用,正常,c10002381232,新用户,5星ABD客户,城网用户,EOC接入,普通,11/3/2016, , 
ys0123064,宽带10M产品,11/2/2017,正使用,正常,c10002381233,新用户,5星ABD客户,城网用户,EOC接入,普通,11/3/2016, , 
ys0049926,宽带4M产品,11/30/2017,正使用,正常,c10002381602,新用户,5星ABD客户,城网用户,EOC接入,普通,10/16/2013, , 
ys0048888,宽带4M产品,12/28/2017,正使用,正常,c10002381602,新用户,5星ABD客户,城网用户,EOC接入,普通,10/2/2013, , 
ys0052120,宽带10M产品,9/19/2017,正使用,正常,c10002381990,新用户,5星ABD客户,城网用户,EOC接入,农网居民,11/13/2013, , 
ys0026558,宽带10M产品,6/3/2017,正使用,正常,c10002381995,新用户,5星ABD客户,农网用户,LAN接入,普通,6/4/2012, , 
ys0040429,宽带10M产品,6/19/2017,正使用,正常,c10002381999,新用户,5星ABD客户,城网用户,EOC接入,普通,5/15/2013, , 
ys0040434,宽带10M产品,6/30/2017,正使用,正常,c10002382818,新用户,5星ABD客户,城网用户,EOC接入,广电系统,5/15/2013, , 
ys0077156,宽带10M产品,12/2/2017,正使用,正常,c10002383699,新用户,5星ABD客户,城网用户,EOC接入,广电系统,11/25/2014, , 
ys0011823,宽带10M产品,5/14/2017,正使用,正常,c10002386159,新用户,3星AD客户,城网用户,EOC接入,广电系统,1/19/2011, , 
ys0076682,宽带10M产品,11/17/2016,已停用,欠费停机,c10002458892,新用户,1星A客户,城网用户,EOC接入,普通,11/17/2014, , 
ys0007066,宽带10M产品,1/13/2018,正使用,正常,c10002386176,新用户,5星ABD客户,城网用户,LAN接入,普通,9/13/2010, , 
ys0066319,宽带10M产品,11/3/2017,正使用,正常,c10002386465,新用户,5星ABD客户,城网用户,EOC接入,普通,5/20/2014, , 
ys0070157,宽带4M产品,7/15/2015,已停用,客户报停,c10002389809,新用户,3星AB客户,农网用户,EOC接入,普通,7/16/2014, , 
ys0118436,宽带4M产品,9/8/2017,正使用,正常,c10002390089,新用户,5星ABD客户,城网用户,EOC接入,农网居民,9/9/2016, , 
ys0021404,宽带10M产品,12/12/2017,正使用,正常,c10002390092,新用户,5星ABD客户,城网用户,EOC接入,普通,12/22/2011, , 
ys0129761,宽带10M产品,1/14/2018,正使用,正常,c10002390422,新用户,5星ABD客户,城网用户,EOC接入,普通,1/15/2017, , 
ys0075456,宽带10M产品,11/25/2017,正使用,正常,c10002390465,新用户,5星ABD客户,城网用户,EOC接入,农网居民,10/26/2014, , 
ys0085709,宽带4M产品,10/4/2017,已停用,客户报停,c10002390468,新用户,3星AB客户,城网用户,EOC接入,农网居民,4/28/2015, , 
ys0067396,宽带10M产品,9/14/2017,正使用,正常,c10002390746,新用户,5星ABD客户,城网用户,EOC接入,普通,6/7/2014, , 
ys0046750,宽带10M产品,2/5/2018,正使用,正常,c10002391171,新用户,离线,城网用户,EOC接入,普通,9/1/2013, , 
ys0069431,宽带4M产品,10/28/2017,正使用,正常,c10002391177,新用户,5星ABD客户,城网用户,EOC接入,普通,7/4/2014, , 
ys0002821,宽带10M产品,11/17/2016,已停用,欠费停机,c10002634388,宽带续费用户,离线,城网用户,EOC接入,普通,6/3/2010, , 
ys0017507,宽带10M产品,7/16/2017,正使用,正常,c10002396356,新用户,5星ABD客户,城网用户,EOC接入,普通,7/19/2011, , 
ys0055567,宽带10M产品,8/14/2017,正使用,正常,c10002396368,新用户,5星ABD客户,城网用户,EOC接入,普通,12/23/2013, , 
ys0032441,宽带10M产品,12/21/2017,正使用,正常,c10002397355,新用户,5星ABD客户,城网用户,EOC接入,普通,11/13/2012, , 
ys0120813,宽带10M产品,10/7/2017,正使用,正常,c10002398111,新用户,5星ABD客户,城网用户,EOC接入,农网居民,10/8/2016, , 
ys0068556,宽带10M产品,10/1/2017,正使用,正常,c10002398731,新用户,5星ABD客户,城网用户,EOC接入,农网居民,6/26/2014, , 
ys0126869,宽带10M产品,12/17/2017,正使用,正常,c10002399516,新用户,5星ABD客户,城网用户,LAN接入,普通,12/18/2016, , 
ys0065649,宽带10M产品,5/6/2017,正使用,正常,c10002402608,新用户,5星ABD客户,城网用户,EOC接入,普通,5/6/2014, , 
ys0034130,宽带10M产品,11/18/2016,已停用,欠费停机,c10002478811,新用户,1星A客户,城网用户,EOC接入,普通,12/31/2012, , 
ys0077820,宽带10M产品,12/3/2017,正使用,正常,c10002403855,新用户,5星ABD客户,城网用户,EOC接入,普通,12/4/2014, , 
ys0025446,宽带10M产品,9/9/2017,正使用,正常,c10002404292,新用户,5星ABD客户,城网用户,EOC接入,农网居民,4/27/2012, , 
ys0008896,宽带10M产品,1/17/2018,正使用,正常,c10002404643,宽带续费用户,5星ABD客户,城网用户,EOC接入,普通,11/13/2010, , 
ys0057498,宽带10M产品,11/18/2016,已停用,欠费停机,c10004010011,新用户,离线,城网用户,EOC接入,普通,1/12/2014, , 
ys0050198,宽带10M产品,11/19/2016,已停用,欠费停机,c10002463052,新用户,1星A客户,城网用户,EOC接入,普通,10/19/2013, , 
ys0076204,宽带10M产品,11/19/2016,已停用,欠费停机,c10002477194,新用户,1星A客户,城网用户,EOC接入,普通,11/10/2014, , 
ys0079333,宽带10M产品,6/3/2017,正使用,正常,c10002405880,新用户,5星ABD客户,农网用户,EOC接入,普通,12/28/2014, , 
ys0015737,宽带10M产品,9/1/2017,正使用,正常,c10002409124,新用户,5星ABD客户,城网用户,EOC接入,农网居民,5/23/2011, , 
ys0040130,宽带10M产品,7/13/2017,正使用,正常,c10002410574,新用户,5星ABD客户,城网用户,EOC接入,普通,5/10/2013, , 
ys0085426,宽带10M产品,5/1/2017,正使用,正常,c10002417598,新用户,5星ABD客户,城网用户,EOC接入,普通,4/22/2015, , 
ys0130512,宽带10M产品,1/19/2018,正使用,正常,c10002417665,新用户,5星ABD客户,城网用户,EOC接入,普通,1/20/2017, , 
ys0056149,宽带10M产品,1/8/2018,正使用,正常,c10002418007,新用户,5星ABD客户,城网用户,EOC接入,广电系统,12/30/2013, , 
ys0050644,宽带4M产品,11/19/2016,已停用,欠费停机,c10006991375,新用户,3星AB客户,农网用户,EOC接入,广电系统,10/26/2013, , 
ys0042635,宽带10M产品,2/2/2018,正使用,正常,c10002418311,新用户,5星ABD客户,城网用户,EOC接入,普通,6/24/2013, , 
ys0111329,宽带10M产品,6/27/2017,正使用,正常,c10002419538,新用户,5星ABD客户,城网用户,EOC接入,普通,5/28/2016, , 
